Cidade;Bairro
Canguçu;4 DISTRITO DE CANGUÇU
Canguçu;CENTRO
Canguçu;COLÔNIA RINCÃO DOS MELÕES
Canguçu;COLÔNIA SANGA FUNDA
Canguçu;COXILHA DAS FLORES
Canguçu;COXILHA DOS CAMPOS
Canguçu;ENCRUZILHADA DOS GRILOS
Canguçu;EST. RINCAO DOS MELOES
Canguçu;FONSECA CÉSAR
Canguçu;ISABEL
Canguçu;PRIMEIRO SUBDISTRITO DE CANGUÇU
Canguçu;RINCÃO DOS MELÕES
Canguçu;SANGA FUNDA
Canguçu;TRI NGULO
Canguçu;VILA DO PRADO
Canguçu;VILA IZABEL
Canguçu;VILA NOVA
Cerrito;CENTRO
Cerrito;CERRITO
Cerrito;COHAB 2
Cerrito;COLÔNIA - VILA FREIRE
Cerrito;CRISTAL
Cerrito;TERCEIRO DISTRITO DE CERRITO
Cerrito;VILA FREIRE
Morro Redondo;AÇOITA CAVALO
Morro Redondo;BR 293
Morro Redondo;CAPELA DA BUENA
Morro Redondo;CASCATA
Morro Redondo;CASCATA 5 DISTRITO
Morro Redondo;CENTRO
Morro Redondo;CENTRO - COMUNIDADE QUILOMBOLA VÓ ERNESTINA
Morro Redondo;COLONIA AFONO PENA
Morro Redondo;COLONIA AFONSO PENA
Morro Redondo;COLONIA AÇOITA CAVALO
Morro Redondo;COLONIA COLORADO
Morro Redondo;COLONIA CRISTAL
Morro Redondo;COLONIA ESTRADA CERRO DA BUENA
Morro Redondo;COLONIA PALHA BRANCA
Morro Redondo;COLONIA RESERVA
Morro Redondo;COLONIA RINCÃO DA CANELEIRA
Morro Redondo;COLONIA SANTA BERNARDINA
Morro Redondo;COLONIA SANTO AMOR
Morro Redondo;COLONIA SAO DOMINGOS
Morro Redondo;COLONIA SAO PEDRO
Morro Redondo;COLONIA SÃO DOMINGOS
Morro Redondo;COLORADO
Morro Redondo;COLÔNIA AFONSO PENA
Morro Redondo;COLÔNIA AÇOITA CAVALO
Morro Redondo;COLÔNIA CACHOEIRA
Morro Redondo;COLÔNIA CAMPESTRE
Morro Redondo;COLÔNIA CAPELA DA BUENA
Morro Redondo;COLÔNIA COLORADO
Morro Redondo;COLÔNIA ESTRADA CERRO DA BUENA
Morro Redondo;COLÔNIA ESTRADA SÃO PEDRO
Morro Redondo;COLÔNIA PASSO DO OURO
Morro Redondo;COLÔNIA PASSO DO VALDEZ
Morro Redondo;COLÔNIA RESERVA
Morro Redondo;COLÔNIA RINCÃO DA CANELEIRA
Morro Redondo;COLÔNIA SANTA BERNARDINA
Morro Redondo;COLÔNIA SANTA EULALIA
Morro Redondo;COLÔNIA SANTA EULÁLIA
Morro Redondo;COLÔNIA SANTO AMOR
Morro Redondo;COLÔNIA SÃO DOMINGOS
Morro Redondo;COLÔNIA SÃO PEDRO
Morro Redondo;COLÔNIACOLÔNIA AÇOITA CAVALO
Morro Redondo;COLÔNIACOLÔNIA SANTA BERNARDINA
Morro Redondo;CORREDOR DAS CORUJAS
Morro Redondo;CORREDOR DOS AIRES
Morro Redondo;ERICO FISS
Morro Redondo;EST. CERRO DA BUENA
Morro Redondo;ESTRAD. STONE LAND
Morro Redondo;ESTRADA DO CALHECO
Morro Redondo;ESTRADA SANTA MARIA
Morro Redondo;MORRO REDONDO
Morro Redondo;PALHA BRANCA
Morro Redondo;PASSO DA TAQUARA
Morro Redondo;PASSO DO MOINHO
Morro Redondo;PASSO DO VALDEZ
Morro Redondo;RINCÃO DA CANELEIRA
Morro Redondo;SANGA FUNDA
Morro Redondo;SANTA BERNADINA
Pelotas;7 DISTRITO DE PELOTAS
Pelotas;9 EST SANTA BERNARDINA
Pelotas;9 ZONA RURAL
Pelotas;ARCO IRIS
Pelotas;AREA
Pelotas;AREAL
Pelotas;AVENIDA PRINCIPAL
Pelotas;BACHINE
Pelotas;BACHINI 7°DISTRITO
Pelotas;BARRAGEM
Pelotas;BARRO DURO
Pelotas;CASCATA
Pelotas;CASCATA (PELOTAS)
Pelotas;CASCATA 5 DISTRITO
Pelotas;CASCATA 5 DISTRITO DE PELOTAS
Pelotas;CASCATA 5 DISTRITO,
Pelotas;CASCATA MONTE BONITO
Pelotas;CASCATA/PELOTAS
Pelotas;CASCATINHA
Pelotas;CASCATINHA 5 DISTRITO
Pelotas;CENTRO
Pelotas;CERRITO ALEGRE 3 DISTRITO
Pelotas;COHAB FRAGATA
Pelotas;COHAB GUABIROBA
Pelotas;COLONIA CRISTAL
Pelotas;COLONIA SANTA BERNARDINA
Pelotas;COLONIA SANTA EULALIA
Pelotas;COLONIA SANTA RITA
Pelotas;COLÔNIA CRISTAL
Pelotas;COLÔNIA MACIEL
Pelotas;COLÔNIA SANTA EULÁLIA
Pelotas;COLÔNIA SANTO ANTÔNIO
Pelotas;COLÔNIA SÃO BENTO
Pelotas;CORREDOR DO MARASCA
Pelotas;CRUZEIRO
Pelotas;DISTRITO PONTE CORDEIRO DE FARIAS
Pelotas;DISTRITO VILA NOVA
Pelotas;DUNAS
Pelotas;ELDORADO
Pelotas;ESTR. DA TATUA
Pelotas;ESTRADA DA GAMA
Pelotas;ESTRADA DO QUILOMBO
Pelotas;ESTRADA DOS ALVES
Pelotas;ESTRADA PRINCIPAL
Pelotas;FATIMA
Pelotas;FRAGATA
Pelotas;GETULIO VARGAS
Pelotas;GETÚLIO VARGAS
Pelotas;GOTUZZO
Pelotas;GOVERNAÇO
Pelotas;GUABIROBA
Pelotas;JARDIM AMERICA
Pelotas;LARANJAL
Pelotas;MONTE BONITO (PELOTAS)
Pelotas;MONTE BONITO 9 DISTR
Pelotas;MONTE BONITO 9 DISTRITO
Pelotas;MONTE BONITO 9° DISTRITO
Pelotas;MONTE BONITO 9º DISTRITO
Pelotas;NAVEGANTES 1
Pelotas;NAVEGANTES 2
Pelotas;NAVEGANTES II
Pelotas;NAVEGANTES III
Pelotas;OBELISCO
Pelotas;PASSO DA MICAELA
Pelotas;PASSO DO SALSO
Pelotas;PESTANO
Pelotas;PONTE CORDEIRO DE FARIA
Pelotas;PONTE CORDEIRO DE FARIAS
Pelotas;PONTO CORDEIRO DE FARIAS
Pelotas;PORTO
Pelotas;PORTO CENTRO
Pelotas;QUILOMBO
Pelotas;QUILOMBO 7 DISTRIT3O
Pelotas;QUILOMBO 7 DISTRITO
Pelotas;RINCÃO DA CRUZ
Pelotas;RINCÃO DA CRUZ 8 DISTRITO
Pelotas;SANGA FUNDA
Pelotas;SANTA SILVANA
Pelotas;SIMÕES LOPES
Pelotas;SITIO FLORESTA
Pelotas;SITIO FORESTA
Pelotas;SÃO GONÇALO
Pelotas;TRÊS VENDAS
Pelotas;TRÊS VENDAS - LINDOIA
Pelotas;TRÊS VENDAS /SITIO FLORESTA
Pelotas;UMUHARAMA
Pelotas;VILA BACHINI
Pelotas;VILA NOVA
Pelotas;VILA PRINCESA
Pelotas;VILA SECA
Pelotas;VILA UMBU
Pelotas;Z VAGO
Capão do Leão;PARQUE FRAGATA
Capão do Leão;JARDIM AMÉRICA
Capão do Leão;CENTRO
Capão do Leão;SÍTIO SÃO MARCOS
Capão do Leão;HIDRÁULICA
Capão do Leão;TEODÓSIA
